question_code,article_code,question,option1,option2,option3,option4,answer,explanation,news_id
19,ART-002-middle,현대 사회의 빠른 변화의 주 원인은 무엇인가?,문화 발전,인구 증가,정보통신 기술의 발달,정부의 정책 변화,정보통신 기술의 발달,,2
20,ART-002-middle,프리랜서와 원격 근무의 보편화로 인해 발생할 수 있는 부정적 영향은 무엇인가?,재정적 안정성,사회적 연결 증가,불안정성,소통 강화,불안정성,,2
21,ART-002-middle,기술로 인한 새로운 교육 방식이 모든 학생에게 동등한 기회를 제공하지 못하는 이유는 무엇인가?,디지털 격차,교사의 부족,학생 수 증가,기술의 부재,디지털 격차,,2
22,ART-002-middle,환경 문제를 해결하기 위해 개인이 할 수 있는 작은 실천은 무엇인가?,화석 연료 사용 확대,자동차 사용 늘리기,종이 소비 증가,플라스틱 사용 줄이기,플라스틱 사용 줄이기,,2
23,ART-002-middle,기사내용을 바탕으로 나만의 요약문을 작성해보세요.,A,B,C,D,"현대 사회는 정보통신 기술의 발달로 급격히 변화하고 있으며, SNS의 확산은 소통 방식을 혁신했다. 그러나 외로움과 고립감을 느끼는 사람들이 증가하고 있다. 경제적으로는 직업의 다양화와 원격 근무가 새로운 기회를 제공하지만 불안정성도 초래한다. 교육 시스템은 기술을 활용한 혁신적인 학습 방법을 도입하고 있으며, 디지털 격차 해소가 중요하다. 환경 문제 또한 중요한 이슈로, 지속 가능한 발전을 위해 개인의 실천이 필요하다." ,,2
24,ART-003-long,글을 읽고 첫번째 문단의 핵심단어를 고르시오.,사람,비즈니스,변화,노력,변화,,3
25,ART-003-long,글을 읽고 세번째 문단의 핵심단어를 고르시오.,움,경제,정책,관계,경제,,3
26,ART-003-long,'사회적 관계와 가치관 또한 변화하고 있다' 해당 문장의 핵심 단어를 고르시오.,관계,산업,참여,대응,관계,,3
27,ART-003-long,'지속적인 기술 발전과 글로벌화로 인해 세계는 더 가까워졌다' 해당 문장의 핵심 단어를 고르시오.,사람,부작용,기술,세계,세계,,3
28,ART-003-long,'이로 인해 기업과 정부는 친환경 정책을 도입하고 있다' 해당 문장의 핵심 단어를 고르시오.,세계,연결,교육,정책,정책,,3
29,ART-003-long,(글로벌화) 을/를 올바르게 사용한 문장을 고르시오.,글로벌화는 지구 온난화에 긍정적인 영향을 미친다.,그는 글로벌화를 책에서 읽고 있었다.,글로벌화로 인해 국가 간의 상호 의존성이 증가하고 있다.,글로벌화는 사람들이 쉽게 친구를 사귈 수 있다.,글로벌화로 인해 국가 간의 상호 의존성이 증가하고 있다.,,3
30,ART-003-long,(기술) 을/를 올바르게 사용하지 못한 문장을 고르시오.,자동화와 인공지능 기술은 노동 시장을 재편하고 있다.,기술 발전은 우리의 생활 방식을 변화시키고 있다.,기술은 사람들 간의 관계를 증진시킬 수 있다.,디지털 혁명은 새로운 기술을 통해 가능해졌다.,기술은 사람들 간의 관계를 증진시킬 수 있다.,,3
31,ART-003-long,(변화)를 적절히 서술한 문장을 고르시오.,과거로 되돌아가는 것,어떤 일이 점차 진전되거나 나아짐,정체 상태에 머무는 것,퇴보하는 것,어떤 일이 점차 진전되거나 나아짐,,3
32,ART-003-long,(발전)의 의미와 반대되는 단어를 고르시오.,진보,조정,수정,퇴보,퇴보,,3
33,ART-003-long,(적응)의 유의어가 아닌 단어를 고르시오.,적응,조화,활응,계획,계획,,3
34,ART-003-long,현대 사회의 변화에 따른 도전 중 디지털 혁명이 끼친 영향은 무엇인가?,"개인의 생활 방식을 크게 변화시키고 정보 접근을 용이하게 했으며, 개인정보 유출 문제를 야기할 수 있다.",농업 혁명과 연관이 있다.,대도시의 인구 밀도를 감소시켰다.,경제 불황을 초래했다.,"개인의 생활 방식을 크게 변화시키고 정보 접근을 용이하게 했으며, 개인정보 유출 문제를 야기할 수 있다.",,3
35,ART-003-long,글로벌화가 가져온 긍정적인 측면과 부정적인 측면은 무엇인가?,"국가 간 상호 의존성을 증가시키고 경제와 문화의 융합을 초래한 반면, 지역적 경제 불균형과 문화적 충돌을 야기한다.",지역적 경제 안정성과 문화적 융합을 가져왔다.,정보의 은폐와 접근성을 감소시켰다.,국제 무역을 감소시켰다.,"국가 간 상호 의존성을 증가시키고 경제와 문화의 융합을 초래한 반면, 지역적 경제 불균형과 문화적 충돌을 야기한다.",,3
36,ART-003-long,현대 사회가 지속 가능한 발전을 위해 중요한 변화는 무엇인가?,개인 소득 증가와 소비 증가이다.,환경 문제에 대한 인식 증가와 기후 변화에 대한 기업과 정부의 친환경 정책 도입이다.,도시화 촉진이다.,국방력 강화이다.,환경 문제에 대한 인식 증가와 기후 변화에 대한 기업과 정부의 친환경 정책 도입이다.,,3
37,ART-003-long,경제 분야에서 디지털 경제의 성장이 초래한 변화는 무엇인가?,외교 관계의 강화이다.,사회복지 정책의 도입이다.,"전자 상거래와 핀테크 산업의 발달로 쇼핑과 금융 관행이 변화하고, 오프라인 비즈니스 모델이 도전에 직면한다.",환경 보호이다.,"전자 상거래와 핀테크 산업의 발달로 쇼핑과 금융 관행이 변화하고, 오프라인 비즈니스 모델이 도전에 직면한다.",,3
38,ART-003-long,SNS의 확산이 사회적 관계와 가치관에 미친 영향은 무엇인가?,"새로운 방식으로 소통할 수 있게 되었으나, 사이버 괴롭힘과 같은 부작용도 존재한다.",오프라인 모임의 증가를 초래했다.,소통이 단절되었다.,국가 간의 관계를 개선했다.,"새로운 방식으로 소통할 수 있게 되었으나, 사이버 괴롭힘과 같은 부작용도 존재한다.",,3
39,ART-003-long,기사내용을 바탕으로 나만의 요약문을 작성해보세요.,A,B,C,D,"현대 사회는 기술 발전과 글로벌화로 급속히 변화하고 있으며, 이에 따른 도전과 문제가 발생하고 있다. 디지털 혁명은 생활 방식을 바꾸었으나 개인정보 유출 등의 문제를 야기하고, 글로벌화는 경제 불균형과 문화적 충돌을 초래한다. 환경 문제에 대한 인식이 높아져 친환경 정책이 도입되고 있으나 전 지구적인 협력이 필요하다. 디지털 경제의 성장으로 전통 산업 구조가 변화하고, 자동화와 AI 기술로 노동 시장이 재편되고 있다. SNS의 확산으로 사회적 관계와 가치관도 변하며 다양성과 포용성을 중시하게 되었다. 우리는 이러한 변화에 적응하고 협력해야 한다." ,,3
